userId,achievementId,rep
38695315,18031,700
75348779,18031,700
36930444,18031,700
9328481,18031,700
37072326,18031,700
36753894,18031,700
32237230,18031,700
30682926,18031,700
41869224,18031,700
37773983,18031,700
76183484,18031,700
22972503,18031,700
1991,18031,700
26505587,18031,700
12933307,18031,700
25404387,18031,700
719,18031,700
31302538,18031,700
41252956,18031,700
5000000,18031,700
29646514,18031,700
20908039,18031,700
22550436,18031,700
39709977,18031,700
85633,18031,700
28058421,18031,700
19966960,18031,700
35856504,18031,700
24304723,18031,700
22626451,18031,700
31858008,18031,700
23700464,18031,700
30225488,18031,700
27676916,18031,700
67161057,18031,700
28921146,18031,700
13981934,18031,700
46516813,18031,700
350,18031,700
75888666,18031,700
70216157,18031,700
33708623,18031,700
35976632,18031,700
20063319,18031,700
11544971,18031,700
37789132,18031,700
6826084,18031,700
10643376,18031,700
36865878,18031,700
10176425,18031,700
73473678,18031,700
14114212,18031,700
76005884,18031,700
26202070,18031,700
20441676,18031,700
76100511,18031,700
73800529,18031,700
16354515,18031,700
38750064,18031,700
30439914,18031,700
19460787,18031,700
37478789,18031,700
14248747,18031,700
38768945,18031,700
3318931,18031,700
30067806,18031,700
23312128,18031,700
35860113,18031,700
26321136,18031,700
70585821,18031,700
28975833,18031,700
32446142,18031,700
75227357,18031,700
35497602,18031,700
23051605,18031,700
35281106,18031,700
61326821,18031,700
56832825,18031,700
33722508,18031,700
3009455,18031,700
30624474,18031,700
7187237,18031,700
19491519,18031,700
24410196,18031,700
30374542,18031,700
75424867,18031,700
36785755,18031,700
31476929,18031,700
29792374,18031,700
40089776,18031,700
36029492,18031,700
21465097,18031,700
66666,18031,700
27894526,18031,700
17531942,18031,700
35559994,18031,700
31265811,18031,700
29405683,18031,700
31804713,18031,700
18907901,18031,700
25505793,18031,700
39280001,18031,700
25202621,18031,700
40742941,18031,700
19008134,18031,700
31428237,18031,700
20211484,18031,700
33568821,18031,700
44588885,18031,700
39991818,18031,700
34562159,18031,700
22000347,18031,700
36531843,18031,700
76848258,18031,700
36823183,18031,700
18657733,18031,700
70389741,18031,700
32372790,18031,700
73117570,18031,700
32414301,18031,700
33270137,18031,700
13964167,18031,700
36871169,18031,700
75446777,18031,700
57010001,18031,700
31749491,18031,700
73187194,18031,700
24991554,18031,700
51800005,18031,700
73091967,18031,700
27107122,18031,700
31951169,18031,700
34908947,18031,700
30564467,18031,700
33565282,18031,700
38455950,18031,700
33956225,18031,700
34213321,18031,700
38613024,18031,700
51883753,18031,700
40828933,18031,700
